industry,n_posts,mean_polarity,median_polarity,neg_share,neu_share,pos_share
Technology/Software,2854,0.07904592025951968,0.0836831323438466,0.09810791871058164,0.25823405746320954,0.6436580238262088
Education,713,0.0948054166612651,0.0935393217893218,0.05890603085553997,0.21598877980364656,0.7251051893408135
Finance/Banking,322,0.09729868121227926,0.09512471655328794,0.055900621118012424,0.20496894409937888,0.7391304347826086
Consulting,278,0.1064232816725037,0.109560742288015,0.039568345323741004,0.1618705035971223,0.7985611510791367
Marketing/Sales,239,0.07738853396024789,0.0858333333333333,0.11715481171548117,0.200836820083682,0.6820083682008368
Healthcare,162,0.0806248305086152,0.08803571428571424,0.06172839506172839,0.2654320987654321,0.6728395061728395
Retail,138,0.07571315363520366,0.08376748087870131,0.11594202898550725,0.21014492753623187,0.6739130434782609
Government/Public,136,0.08268305327077806,0.08367704826038155,0.051470588235294115,0.29411764705882354,0.6544117647058824
Media/Entertainment,90,0.08791162883798653,0.09669986405700684,0.05555555555555555,0.24444444444444444,0.7
Energy,68,0.09216641152589979,0.0869252873563218,0.029411764705882353,0.2647058823529412,0.7058823529411765
Law/Legal,57,0.0741546317330682,0.0869252873563218,0.07017543859649122,0.22807017543859648,0.7017543859649122
Manufacturing,55,0.08129914352770143,0.0876308539944903,0.07272727272727272,0.21818181818181817,0.7090909090909091
Aerospace/Defense,48,0.07392166286821532,0.0748295499414902,0.0625,0.22916666666666666,0.7083333333333334
Nonprofit,27,0.09519052704009233,0.0900412087912088,0.0,0.2962962962962963,0.7037037037037037
Real Estate,23,0.1209277163609228,0.1124934732664995,0.0,0.13043478260869565,0.8695652173913043
