term,mean_tfidf
bi,0.02339226891318401
reporting,0.023195742592468867
sql,0.020791357445221297
dashboards,0.01823389489039091
tableau,0.015733026870462342
power bi,0.014998671074019313
python,0.013931805710280642
business intelligence,0.01284905651443663
excel,0.01198250919005135
pipelines,0.011897807717283165
etl,0.011831672839814783
data models,0.010922190279238688
governance,0.010760738293621458
azure,0.009100911846559794
snowflake,0.009084774151312357
statistics,0.008829388194240353
data modeling,0.008814109990612537
data pipelines,0.008137848170895018
looker,0.008063231392961192
aws,0.007652523715504708
dashboard,0.0069410359407198925
kpis,0.006790824256382492
machine learning,0.005858567427087117
dbt,0.005254299347789839
forecasting,0.005231756960257416
experimentation,0.005101376719452489
ml,0.004847934892847815
powerbi,0.004217445172911952
kpi,0.004043126019509298
api,0.004019563635007813
airflow,0.003925966926733932
bigquery,0.003865058303919619
gcp,0.0038046215550150953
databricks,0.0033676925019267686
spark,0.0031106358923296855
pandas,0.0030744154331711375
metadata,0.002720612597607531
sas,0.002360567013044497
power query,0.0022593671990229734
data pipeline,0.0011910172218961158
